"fagency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_id"
"LTFRB","","Baclaran-Malanday via Edsa, McArthur","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City","3","","FFFFFF","","LTFRB_PUB1120"
"LTFRB","","Baclaran-Malanday via Edsa, McArthur","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - Roxas Blvd, Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1121"
"LTFRB","","Baclaran-Malanday viaEDSA, McArthur, Ayala","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - C.P. Enerton Fuel Station, MacArthur Highway, Valenzuela City, Philippines","3","","FFFFFF","","LTFRB_PUB1122"
"LTFRB","","Baclaran-Malanday viaEDSA, McArthur, Ayala","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - Roxas Blvd, Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1123"
"LTFRB","","Baclaran-Navotas Terminal via EDSA","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City","3","","FFFFFF","","LTFRB_PUB1124"
"LTFRB","","Baclaran-Navotas Terminal via EDSA","Roxas Blvd, Parañaque City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila","3","","FFFFFF","","LTFRB_PUB1125"
"LTFRB","","Baclaran-Navotas Terminal via Edsa Ayala","San Juan De Dios Educational Foundation, Incorporated, Pasay City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila","3","","FFFFFF","","LTFRB_PUB1126"
"LTFRB","","Baclaran-Navotas Terminal via Edsa Ayala","MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - Roxas Blvd, Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1127"
"LTFRB","","Baclaran-Novaliches via EDSA Mindanao Ave","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Quirino Highway, Quezon City","3","","FFFFFF","","LTFRB_PUB1128"
"LTFRB","","Baclaran-Nvaliches via EDSA Mind AveAyala","Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila - Quirino Highway, Quezon City","3","","FFFFFF","","LTFRB_PUB1129"
"LTFRB","","Baclaran-Nvaliches via EDSA Mind AveAyala","Quirino Highway, Quezon City - Roxas Blvd, Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1130"
"LTFRB","","Baclaran - SM Fairview via Lagro C'wealth","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Belfast / Bulalakaw Intersection, Quezon City","3","","","","LTFRB_PUB1131"
"LTFRB","","Baclaran - SM Fairview via Lagro C'wealth","Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - Roxas Blvd, Parañaque City, Manila","3","","","","LTFRB_PUB1132"
"LTFRB","","Baclaran - SM Fairview via Lagro, Ayala","Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila - Belfast / Bulalakaw Intersection, Quezon City","3","","","","LTFRB_PUB1133"
"LTFRB","","Baclaran - SM Fairview via Lagro, Ayala","Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - Roxas Blvd, Parañaque City, Manila","3","","","","LTFRB_PUB1134"
"LTFRB","","Baclaran-SM Fairview via Quezon Ave","Taft Ave / Josefa Llanes Escoda Intersection, Manila - Belfast / Bulalakaw Intersection, Quezon City","3","","","","LTFRB_PUB1135"
"LTFRB","","Baclaran-SM Fairview via Quezon Ave","Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - Taft Ave / Josefa Llanes Escoda Intersection, Manila","3","","","","LTFRB_PUB1136"
"LTFRB","","Bagong Silang - Sta. Cruz via Malinta Exit","T. Mapua, Manila - Langit Road, Caloocan City","3","","","","LTFRB_PUB1137"
"LTFRB","","Bagong Silang - Sta. Cruz via Malinta Exit","Un named Road near Tatak Kubo, Caloocan City - Valariano Fugoso, Manila","3","","","","LTFRB_PUB1138"
"LTFRB","","Bagong Silang - NAIA via Maligaya Park, EDSA","Maria, Parañaque City, Manila - Green Construction Supply, Langit Road, Caloocan City","3","","FFFFFF","","LTFRB_PUB1139"
"LTFRB","","Bagong Silang - NAIA via Maligaya Park, EDSA","Green Construction Supply, Langit Road, Caloocan City - Terminal 1 Arrivals Area Rd, Ninoy Aquino International Airport,  Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1140"
"LTFRB","","Cainta - Quiapo via Ortigas Ave, Magsaysay Blvd","Marketplace, Cainta, Manila - Quezon Blvd, Manila","3","","","","LTFRB_PUB1141"
"LTFRB","","Cainta - Quiapo via Ortigas Ave, Magsaysay Blvd","Claro M. Recto Ave / Quezon Blvd Intersection, Manila - Marketplace, Cainta, Manila","3","","","","LTFRB_PUB1142"
"LTFRB","","Eastwood Libis - Marriot Terminal via Acropolis","Newport Blvd, Pasay City, Manila - Pheonix Sun Business Park, Quezon City, Manila","3","","","","LTFRB_PUB1145"
"LTFRB","","Eastwood Libis - Marriot Terminal via Acropolis","Pheonix Sun Business Park, Quezon City, Manila - Newport Blvd, Pasay City, Manila","3","","","","LTFRB_PUB1146"
"LTFRB","","FTI - Navotas Terminal via EDSA","DBP Ave, Taguig City, Manila, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila","3","","FFFFFF","","LTFRB_PUB1147"
"LTFRB","","FTI - Navotas Terminal via EDSA","MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - DBP Ave, Taguig City, Manila, Manila","3","","","","LTFRB_PUB1148"
"LTFRB","","FTI - SM Fairview via Lagro Commonwealth","DBP Ave, Taguig City, Manila, Manila - Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila","3","","","","LTFRB_PUB1149"
"LTFRB","","FTI - SM Fairview via Lagro Commonwealth","Belfast / Bulalakaw Intersection, Quezon City - DBP Ave, Taguig City, Manila, Manila","3","","","","LTFRB_PUB1150"
"LTFRB","","FTI - Tungko, SJDM via Lagro, C'wealth Ave EDSA","DBP Ave, Taguig City, Manila, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte","3","","FFFFFF","","LTFRB_PUB1151"
"LTFRB","","FTI - Tungko, SJDM via Lagro, C'wealth Ave EDSA","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - DBP Ave, Taguig City, Manila, Manila","3","","","","LTFRB_PUB1152"
"LTFRB","","Grotto - Baclaran via Commonwealth Ave, Ayala","Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte","3","","","","LTFRB_PUB1155"
"LTFRB","","Grotto - Baclaran via Commonwealth Ave, Ayala","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila","3","","","","LTFRB_PUB1156"
"LTFRB","","Grotto - NAIA via EDSA, Fairview","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Ninoy Aquino Ave, Lungsod ng Pasay, Manila","3","","FFFFFF","","LTFRB_PUB1158"
"LTFRB","","Grotto - NAIA via EDSA, Ayala, Buendia Extn","Maria, Parañaque City, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte","3","","FFFFFF","","LTFRB_PUB1159"
"LTFRB","","Grotto - NAIA via EDSA, Ayala, Buendia Extn","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Ninoy Aquino Ave, Lungsod ng Pasay, Manila","3","","FFFFFF","","LTFRB_PUB1160"
"LTFRB","","Lagro - NAIA via Fairview","Maria, Parañaque City, Manila - Quirino Highway / Maligaya Intersection, Caloocan City","3","","","","LTFRB_PUB1161"
"LTFRB","","Lagro - NAIA via Fairview","Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - Terminal 1 Arrivals Area Rd, Ninoy Aquino International Airport,  Parañaque City, Manila","3","","","","LTFRB_PUB1162"
